id,titre,description,severite,statut,module,reproductibilite,etapes_repro,comportement_attendu,comportement_observe,cause_racine,correctif,tests_ajoutes,detectee_le,assignee,date_maj,date_cloture,feature_liee,notes
A0001,fastapi manquant apres pip install -e .,"Apres installation du package renatus (pip install -e .), renatus-gui echoue car fastapi n est pas installe. fastapi/uvicorn sont en extra [api] alors que les entrypoints renatus-api et renatus-gui sont toujours declares.",majeure,terminee,packaging / renatus.gui / renatus.api,toujours,pip install -e . ; renatus-gui db pipelines,renatus-gui demarre (fastapi et uvicorn presents),ModuleNotFoundError: fastapi,deps fastapi/uvicorn en optional-dependencies api seulement,fastapi+uvicorn en dependencies principales; requirements.txt; tests A0001,tests/test_a0001_packaging_deps.py,2026-08-07,gestionnaire,2026-08-07,2026-08-07,"F0009,F0010",signale console utilisateur; corrige A0001
A0002,arborescence data/ models hotels dans le package renatus,"Le depot renatus contient data/ (duckdb, files/input/output avec sim_v1, sim_v2, ml, common) et models/ (catboost, xgboost, ml1, ml2, super) specifiques au projet hotels d origine. Paths.ensure() recree ces dossiers vides. Contraire a la regle: rien de specifique hotels dans le coeur renatus; ne pas versionner d arborescences vides metier.",majeure,terminee,paths.py / data/ / models/,toujours,ls data/files/output ; ls models ; lire Paths.ensure,depot sans data/ hotels; Paths generique sans sim_v1/sim_v2,data/ et models/ hotels presents et assures par ensure(),copie arborescence hotels + Paths.ensure() metier,suppression data/models hotels; Paths generique; gitignore; tests A0002,tests/test_a0002_no_hotel_data_tree.py,2026-08-07,gestionnaire,2026-08-07,2026-08-07,"F0001,F0006",signale console utilisateur
A0003,renatus-gui plante si chemins absents,"renatus-gui workspace/pipelines workspace/databases/main/main.duckdb plante si les dossiers/fichiers n existent pas. Attendu: creer arborescence, base vide, UI vide sans YAML.",majeure,terminee,gui/server + pipeline load,toujours,renatus-gui chemins_inexistants,creation dirs + demarrage UI vide,Erreur pipeline_path introuvable / crash,server refuse path absent; load_pipeline refuse zero YAML,prepare_workspace; pipeline vide OK; ordre args flexible; gui/api server,tests/test_a0003_gui_bootstrap.py,2026-08-07,gestionnaire,2026-08-07,2026-08-07,F0010,console utilisateur
A0004,renatus-gui port 8000 already in use,renatus-gui echoue avec Errno 98 address already in use sur 127.0.0.1:8000 si un process occupe deja le port (instance precedente). Attendu: message clair et/ou choix automatique d un port libre.,mineure,terminee,gui/server + api/server,quand port 8000 occupe,lancer gui deux fois sans liberer 8000,port libre auto ou erreur actionnable,Errno 98 bind failed puis shutdown,port fixe 8000 sans detection occupation,find_free_port auto; --strict-port; message Attention port occupe,tests/test_a0004_port_busy.py,2026-08-07,gestionnaire,2026-08-07,2026-08-07,F0010,console utilisateur; pid 455871 sur 8000
A0005,build dataframe extension non supportee apres selection fichier,"Apres ajout dataframe, selection fichier xlsx, Build echoue: Extension non supportee (suffixe vide). Capture: gestion_projet/agentic/captures/A0005_build_extension_non_supportee.png. Cause probable: build sans save (file encore vide cote serveur) + openpyxl absent.",majeure,terminee,gui build + df_from_file,toujours,"creer df, picker xlsx, Build sans Save",save auto puis build xlsx/csv OK,Extension non supportee,build lit YAML serveur non sauvegarde; openpyxl extra only,save auto avant build; messages file vide/xlsx; openpyxl dep principale,tests/test_a0005_dataframe_file.py,2026-08-08,gestionnaire,2026-08-08,2026-08-08,"F0014,F0017",console + capture
A0006,renatus-gui sans argument echoue,Lancer renatus-gui sans chemin echoue: Arguments attendus db pipelines ou projet.renatus.yaml. Warnings pandas numexpr/bottleneck si env anaconda. Attendu: demarrage workspace par defaut ou message d aide clair.,majeure,terminee,gui/server,toujours,renatus-gui,demarrage workspace/main.duckdb + workspace/pipelines ou detection projet,Erreur Arguments attendus...,resolve_startup_paths refuse 0 args apres F0026,defaut workspace/; auto .renatus.yaml; help; filtre warnings pandas,tests/test_a0006_gui_no_args.py,2026-08-08,gestionnaire,2026-08-08,2026-08-08,F0026,console utilisateur
A0007,Demande refactor OOP deja traitee via F0053/F0054,"Demande console: refactor hierarchie classes backend/frontend, placer chaque fonction dans la bonne classe, rejouer tests, maj docs. Enregistre a tort comme anomalie incomplete (champs vides).",mineure,terminee,architecture / pipeline.steps / gui,n/a,demande utilisateur console,hierarchie OOP claire + tests verts + docs,demande saisie comme anomalie incomplete,demande feature saisie dans anomalies.csv au lieu de features.csv,"Deja realise: epic F0053 (Step ABC, factory, ES modules, registry) et F0054 (GuiService split, ConfigPanel, controllers). Full pytest vert; docs ARCHITECTURE/CORE. Cloture A0007 sans redev.",tests F0053/F0054 + full suite existante,2026-08-08,gestionnaire,2026-08-09,2026-08-09,"F0053,F0054",cloturee 2026-08-09: backlog deja livre; pas de double refactor
A0008,renatus-gui commande introuvable apres rename,"Apres F0087/F0088 (renatus-studio → renatus-gui), la commande renatus-gui est introuvable dans le shell malgre (.venv) actif. Cause: entrypoints console_scripts non regeneres dans le venv (install editable obsolete) et/ou PATH pointant vers un ancien venv. Correctif: pip install -e . dans le venv du depot renatus puis deactivate/activate. Alternative: python -m renatus.gui",mineure,terminee,packaging / renatus.gui entrypoints,apres rename sans reinstall,cd renatus; source .venv/bin/activate; renatus-gui,renatus-gui --help affiche l aide,renatus-gui : commande introuvable,console_scripts non installes dans le venv actif (editable out of date),pip install -e . ; re-activer le venv; PATH=.venv/bin en tete; python -m renatus.gui fallback,test_f0088_gui_only entrypoints; verification manuelle pip install -e .,2026-08-09,gestionnaire,2026-08-09,2026-08-09,"F0087,F0088",console utilisateur 2026-08-09; binaire present apres reinstall dans .venv/bin
A0009,Flux affiche Pipeline vide malgre des noeuds,"Le message ""Pipeline vide"" restait visible par-dessus le graphe meme avec des composants. Cause: CSS #graph-empty { display:flex } ecrasait l attribut HTML hidden. Correctif: retrait du message empty state.",mineure,terminee,gui/graph empty state,toujours avec noeuds sur le flux,"ouvrir renatus-gui avec des steps; voir ""Pipeline vide"" centre",pas de message Pipeline vide,Pipeline vide affiche par-dessus les noeuds,display:flex override [hidden],supprimer empty state graph; CSS display none; tests F0044,test_f0044 + test_a0009_no_pipeline_vide,2026-08-09,gestionnaire,2026-08-09,2026-08-09,F0044,console + capture 2026-08-09
A0010,Delete objet casse le projet si des requires pointent dessus,"Apres suppression d un objet encore reference dans requires d autres steps, renatus-gui refuse d ouvrir (ValueError Dependance absente). Correctif: detacher des requires/objects des dependants a la suppression; heal des requires orphelins au load_pipeline.",majeure,terminee,gui delete_step + pipeline load_pipeline,supprimer un objet require par d autres puis relancer gui,creer src+child(requires src); delete src; renatus-gui,child.requires sans src; projet ouvre,ValueError Dependance absente; crash demarrage,delete ne nettoie pas les requires inverses; validate stricte au load,_detach_deleted_from_dependents; heal_missing_requires + persist,tests/test_a0010_delete_detaches_requires.py,2026-08-09,gestionnaire,2026-08-09,2026-08-09,"F0041,F0063",console 2026-08-09 execute_2026... requires dataframe supprime
