composant,etat,decision,raison,action,priorite
Excels ROD règles + simulateurs,Source de vérité,GARDER,"C’est la source de vérité n°1 demandée : règles concept, coûts, revenus, marges, amortissement.",Reproduire les feuilles en Python via tables de paramètres + tests unitaires cellule-à-cellule.,Haute
consigne ROD.odt,Source de vérité fonctionnelle,GARDER,"C’est la source de vérité n°2 : objectifs produit, feature store, stratégie ML, contraintes et stacking.",Transformer en backlog fonctionnel et critères d’acceptation.,Haute
rod_data(1).ipynb,Production technique utile,GARDER / INDUSTRIALISER,"Aplatissement ROD hiérarchique propre, utile pour passer du questionnaire Excel à une table hôtel.",Extraire en module Python versionné avec tests et dictionnaire de colonnes.,Haute
rod_data_v0.ipynb,Ancienne tentative,ARCHIVER,Version antérieure remplacée par rod_data plus complet.,"Conserver comme historique, ne pas maintenir.",Basse
transaction_data.ipynb,Utile mais à corriger,MODIFIER,"Prépare les ventes par mois/type/gamme, mais l’approche actuelle agrège/somme les années au lieu de produire la moyenne mensuelle historique voulue.","Calculer mean par mois saisonnier avec nb_observations, années_count, total_tickets_count.",Haute
prepare_ml_dataset.py,Utile mais non conforme à 100%,MODIFIER,Script formalise le pipeline ML mais pivote avec somme sur les années <2026; la consigne demande moyenne mensuelle indépendamment de la durée d’historique.,Réécrire prepare_sales_monthly_wide en version moyenne mensuelle + fiabilité.,Haute
prepare_X_y_clean.py,Conforme au principe anti-leakage,GARDER / RENFORCER,Identifie les cibles montant/nbr_ventes et les enlève des features.,"Garder, ajouter whitelist/blacklist de colonnes et tests de fuite.",Haute
ml_xgboost_baseline.py / ml.ipynb,Base de modèle utile mais fragile,MODIFIER,"XGBoost est cohérent, mais N=5 et p très grand; risque de surapprentissage.","Réduire la granularité d’abord : global mensuel, catégorie, sous-catégorie; validation leave-one-hotel-out; OOF pour stacking.",Haute
Stacking,"Stratégie définie, pas encore industrialisée",A DEVELOPPER,"La couche 2 avec prédictions L1 comme features est dans la stratégie, pas encore un pipeline validé.","Implémenter OOF predictions L1 puis L2, sans utiliser les vraies cibles 2026.",Haute
poi.ipynb / weather_data.ipynb,Préparation utile,GARDER / ADAPTER,Agrège POI et météo déjà dans l’esprit feature store.,"Mettre en fonctions réutilisables, aligner formats mensuels et rayons 0.1 à 0.5 km.",Haute
enrich_hotel.py,Très utile mais écart majeur,MODIFIER,"Le module enrichit géocodage/POI/météo, mais les rayons par défaut sont 1-5 km alors que la consigne demande 0.1-0.5 km. Pas de cache feature store robuste ni distance plage.","Corriger DEFAULT_RADII=[0.1,0.2,0.3,0.4,0.5], ajouter persistance par hotel_id, adresse, date d’enrichissement, distance plage.",Haute
server.py + index.html/script.js/style.css,Prototype web utile,GARDER COMME POC / REFACTORER,"L’application Flask existe avec écrans ROD, enrichissement et prédiction, mais utilise un vecteur base pivot et des mocks.","Séparer API de production, service feature_store, service simulation_excel, service simulation_ia; éviter le template pivot par défaut.",Haute
rod_simulator.py,Prototype non suffisant comme source vérité,MODIFIER FORTEMENT,"Le fichier dit “fidèle”, mais il hardcode des valeurs et simplifie plusieurs formules/coûts; il ne couvre pas toutes les catégories/sous-catégories.","Re-générer à partir des tables Excel, avec tests comparant sorties Python vs cellules Excel.",Haute
rod_rules.py,Prototype utile mais à vérifier,MODIFIER,"Il encode des règles du classeur, mais contient aussi des éléments stratégiques non clairement confirmés comme politique high-end; à valider.",Reprendre uniquement les règles présentes dans Excel et consigne; documenter toute règle ajoutée comme hypothèse.,Haute
business_logic.py,Prototype métier intéressant mais hypothèses,MODIFIER,"Contient funnel, reallocation, P&L, optimiser simple; mais buyer rate 0.35 et coûts simplifiés doivent être remplacés par Excel ou données.",Paramétrer depuis Excel; rendre les hypothèses visibles; séparer naturel vs contraint.,Haute
rod_full_simulator.py,Architecture cible intéressante,MODIFIER,"Regroupe revenus/coûts/optimisation, mais coûts simplifiés et potentiellement non conformes.",En faire l’orchestrateur après extraction fidèle des règles Excel.,Moyenne
hotel_ca_projector.py / simulateur_corner.py,Anciennes approches hybrides,ARCHIVER / REUTILISER IDEES,"Utile pour comprendre la projection pivot et la saisonnalité, mais moins aligné avec la nouvelle stratégie feature store + XGBoost + stacking.",Réutiliser idées de saisonnalité et mix; ne pas l’utiliser comme moteur final.,Moyenne
association_gamme/product notebooks,Exploration utile,ARCHIVER / REUTILISER,"Analyse de panier par gamme/produit utile pour assortiment, mais pas coeur de prédiction CA V1.",Conserver pour moteur d’assortiment / exemples produits; nettoyer doublons small vs enrichi.,Moyenne
ml_v0.ipynb / rod_selection.ipynb,Brouillons / anciennes pistes,ARCHIVER,"Contiennent essais de dummies/keras/sélection manuelle; utiles historiquement, mais pas moteur cible.",Conserver hors pipeline prod.,Basse
