id,titre,description,status,plan,temp_dev_total,temps_test_total,commentaire
F0001,init,initialiser le projet,terminee,package renatus,20min,8min,merge main
F0002,fonctionnement correct,tests unitaires pipeline,terminee,tests tmp_path,15min,18min,13 tests OK
F0003,readme,README architecture dossiers,terminee,README,12min,0min,OK
F0004,documentation,documentation.html detaille,terminee,HTML 9 sections,48min,22min,18b7ccb
F0005,gitignore,gitignore standard,terminee,gitignore,5min,0min,OK
F0006,architecture,ARCHITECTURE.md,terminee,doc architecture,35min,0min,6b9cdfd
F0007,organisation,agentic etat persistant,terminee,agentic data,50min,30min,historique; code deplace en F0011
F0008,cli renatus,CLI oneshot REPL,terminee,cli,35min,40min,9b81ca1
F0009,api renatus,API HTTP FastAPI,terminee,api,75min,45min,4ab50fe
F0010,gui renatus gui,GUI web,terminee,gui,45min,25min,58ad366
F0011,separation gestion code,"Separer package renatus de la gestion. Code gestion sous gestion_projet/src/, donnees sous agentic/, logs. Aucun code gestion dans src/renatus.",terminee,gestion_projet/src/agentic; tests; docs; regle,40min,15min,merge F0011; package agentic hors renatus; 130 tests
F0012,gui gui refonte outils graphe dataview,"Refonte GUI Renatus GUI (capture: gestion_projet/agentic/captures/F0012_gui_before.png). UI mediocre actuelle: remplacer par gui reel. Sidebar boite a outils: dataset (dataframe/table/view), execute, iteration. Dataframe depuis fichier (preview donnees sans table). Table/view via SQL en dur + requires. Zone graphe interactive au centre (drag, reconfig, dependances requires). Zone DataView en bas: selection dataset → limit 3 lignes; sinon bouton Build (lineage). Affichage: nom dossier pipelines + nom fichier duckdb sans extension; chemins complets dans fenetre proprietes au clic. Documenter le GUI dans la doc projet.",terminee,API tools+create; UI sidebar/graphe/dataview; docs; capture F0012,90min,20min,merge F0012; gui GUI tools/graphe/dataview; capture ref
F0013,strategie tests GUI gui,"Ameliorer la facon de tester les interfaces graphiques (avis ChatGPT). Spec complete: gestion_projet/agentic/specs/F0013_gui_testing_strategy.md. Niveaux: unit modele, integration API, E2E Playwright, visual optionnel. Imposer data-testid stables sur GUI. Criteres AC drag&drop. Workflow agents: Feature→AC→tests attendus→dev testable→run→review. Doc doc/TESTING_GUI.md. Extra pytest e2e.",terminee,specs+regles; data-testid; e2e playwright; doc TESTING_GUI,45min,15min,spec F0013_gui_testing_strategy.md; data-testid; TESTING_GUI.md; e2e optional
