exigence,etat_actuel,statut,action,priorite
Feature store par hôtel avec cache,enrich_hotel calcule mais ne crée pas un stockage par hotel_id structuré.,Non terminé,"Créer dossiers data/feature_store/hotels/{hotel_id}/geo, poi, weather, profile, inputs, simulations.",Haute
Rayons POI 0.1 à 0.5 km,enrich_hotel utilise 1 à 5 km; anciens poi_prepared ont 0.1-0.5 km selon logs.,Ecart,Corriger enrich_hotel et harmoniser noms de colonnes.,Haute
Distance plage la plus proche,Mentionnée dans consigne; pas observée dans code.,Manquant,Ajouter source géographique et cache distance_beach_km.,Haute
Targets moyennes mensuelles par mois/catégorie/sous-catégorie,prepare_ml_dataset et transaction_data agrègent par somme sur années.,Ecart critique,Passer à moyenne par mois saisonnier et ajouter colonnes de fiabilité.,Haute
Sous-catégories produit,"Ventes contiennent TYPE, GAMME, produit; pas de colonne sous-catégorie officielle.",A définir,Créer mapping produit→sous-catégorie à partir de l’UI ROD / Excel / métier.,Haute
Simulation ROD fidèle cellule-à-cellule,rod_simulator hardcode et simplifie.,Partiel,Exporter paramètres Excel et tests unitaires.,Haute
Simulation IA plus précise,"XGBoost baseline et app POC existent mais N=5, features très larges.",Partiel,Construire V1 avec agrégats + LOHO + calibration ROD.,Haute
Optimisation sous contraintes verrouillées,"business_logic et server reallocate existent, mais pas un vrai solveur complet avec champs figés.",Partiel,Créer StoreConfiguration + LockedConstraints + grid search/pruning.,Haute
Comparer sortie ROD vs sortie IA,Endpoints /api/rod_simulate et /api/predict existent mais pas cadrage produit complet.,Partiel,Standardiser un objet SimulationResult commun.,Haute
"Pas de Spark, pandas only","Tous scripts sont pandas, conforme.",Conforme,Conserver pandas + parquet/csv local.,Haute
